Date,New Eviction Filings,COVID19 Declarations,Marshals Evictions Executed
2001-02,,1.0,
2016-01,19913.0,,
2016-02,21993.0,,
2016-03,19679.0,,
2016-04,16564.0,,
2016-05,17465.0,,
2016-06,18888.0,,
2016-07,18409.0,,
2016-08,22262.0,,
2016-09,20056.0,,
2016-10,18646.0,,
2016-11,20783.0,,
2016-12,20234.0,,
2017-01,19178.0,,1969.0
2017-02,19369.0,,1507.0
2017-03,20252.0,,1813.0
2017-04,15871.0,,1646.0
2017-05,18477.0,,1847.0
2017-06,17645.0,,1767.0
2017-07,18676.0,,1504.0
2017-08,20897.0,,1840.0
2017-09,18462.0,,1614.0
2017-10,20019.0,,1781.0
2017-11,19276.0,,1597.0
2017-12,18750.0,,1198.0
2018-01,20848.0,,2020.0
2018-02,18056.0,,1597.0
2018-03,18492.0,,1693.0
2018-04,16025.0,,1724.0
2018-05,16270.0,,1893.0
2018-06,17624.0,,1655.0
2018-07,18227.0,,1660.0
2018-08,20447.0,,1747.0
2018-09,15718.0,,1399.0
2018-10,20971.0,,1571.0
2018-11,18771.0,,1328.0
2018-12,17099.0,,1048.0
2019-01,20020.0,,1800.0
2019-02,17054.0,,1476.0
2019-03,16456.0,,1475.0
2019-04,16888.0,,1534.0
2019-05,17402.0,,1564.0
2019-06,12553.0,,1411.0
2019-07,6937.0,,1445.0
2019-08,11673.0,,1369.0
2019-09,12537.0,,1259.0
2019-10,13719.0,,1251.0
2019-11,12825.0,,1011.0
2019-12,13469.0,,830.0
2020-01,14565.0,2.0,1388.0
2020-02,13311.0,1.0,1014.0
2020-03,9059.0,2.0,525.0
2020-04,4.0,1.0,
2020-05,4.0,,
2020-06,10.0,,
2020-07,1904.0,,
2020-08,5743.0,3.0,
2020-09,7148.0,1.0,
2020-10,8119.0,1.0,
2020-11,7526.0,2.0,3.0
2020-12,7632.0,18.0,6.0
2021-01,438.0,2173.0,
2021-02,1371.0,13915.0,
2021-03,3393.0,12146.0,
2021-04,4933.0,5782.0,3.0
2021-05,5168.0,5202.0,5.0
2021-06,5020.0,4861.0,5.0
2021-07,3968.0,3536.0,14.0
2021-08,4154.0,2600.0,
2021-09,859.0,580.0,
2070-03,,,1.0
